step,prediction_loss,sigreg_loss,total_loss,weight_l2
1,0.3876524865627289,0.8033100366592407,0.4679834842681885,39.00688823072999
2,0.4363991618156433,0.8105916380882263,0.5174583196640015,39.0067700184655
3,0.3987942636013031,0.793167233467102,0.47811099886894226,39.0065195443636
4,0.4023767113685608,0.790897011756897,0.4814664125442505,39.006143784815016
5,0.36477163434028625,0.8444249629974365,0.4492141306400299,39.00564793384848
6,0.36891669034957886,0.8064521551132202,0.4495618939399719,39.00504173631814
7,0.41672924160957336,0.8030058741569519,0.4970298409461975,39.00447669186114
8,0.38505321741104126,0.785461962223053,0.46359941363334656,39.003931326875964
9,0.4087633490562439,0.812272846698761,0.4899906516075134,39.0034380385135
10,0.42552992701530457,0.7794044613838196,0.5034703612327576,39.002929020878234
11,0.40347757935523987,0.7829123735427856,0.48176881670951843,39.002503118825814
12,0.3687354028224945,0.7989116907119751,0.4486265778541565,39.002080692893635
13,0.3909354507923126,0.7842337489128113,0.4693588316440582,39.001670741218184
14,0.41533949971199036,0.8037169575691223,0.49571120738983154,39.001298974650574
15,0.3563234508037567,0.7949860692024231,0.435822069644928,39.00093143954459
16,0.409502774477005,0.7966218590736389,0.48916494846343994,39.00058083134322
17,0.3742268681526184,0.7789477109909058,0.45212164521217346,39.00023777845982
18,0.3786883056163788,0.8191644549369812,0.4606047570705414,38.999906863845915
19,0.36739879846572876,0.7911819815635681,0.4465169906616211,38.99961451438619
20,0.42819541692733765,0.8027449250221252,0.5084699392318726,38.99936829075566
21,0.3720315992832184,0.7605145573616028,0.4480830430984497,38.99916134937849
22,0.34846457839012146,0.8061964511871338,0.42908424139022827,38.998939959439014
23,0.3955516815185547,0.7771701812744141,0.47326868772506714,38.99875762399807
24,0.36010414361953735,0.7789177298545837,0.43799591064453125,38.99857893149423
25,0.37167662382125854,0.7903591990470886,0.45071256160736084,38.99843226665986
26,0.36545273661613464,0.7996441721916199,0.4454171657562256,38.99829587058657
27,0.37581104040145874,0.7987134456634521,0.4556823968887329,38.99816761012814
28,0.33389732241630554,0.7982187271118164,0.41371920704841614,38.99804052575058
29,0.38415881991386414,0.7678228616714478,0.4609411060810089,38.99794137517133
30,0.3580915033817291,0.7872745394706726,0.4368189573287964,38.997847267697985
31,0.37512001395225525,0.8128738403320312,0.4564073979854584,38.997750599440934
32,0.4090161621570587,0.7845222353935242,0.4874683916568756,38.99765405925971
33,0.3672972619533539,0.7651318311691284,0.44381046295166016,38.99757909385419
34,0.35976642370224,0.8027289509773254,0.44003933668136597,38.99751154270982
35,0.32806214690208435,0.8219693899154663,0.41025909781455994,38.997453817934456
36,0.380047082901001,0.7780454158782959,0.4578516185283661,38.99740715223683
37,0.37459543347358704,0.7687956094741821,0.45147499442100525,38.99736382381376
38,0.3494470417499542,0.7804079055786133,0.427487850189209,38.99732869066024
39,0.3490939140319824,0.8005422353744507,0.4291481375694275,38.99730495186475
40,0.3737852871417999,0.7970371842384338,0.4534890055656433,38.99728879814126
41,0.34525999426841736,0.7771623134613037,0.42297622561454773,38.9972726775187
42,0.38364461064338684,0.7994758486747742,0.46359220147132874,38.997258277605994
43,0.33958548307418823,0.7678036689758301,0.4163658618927002,38.99724806185442
44,0.35873308777809143,0.7913161516189575,0.4378647208213806,38.9972380287345
45,0.3793512284755707,0.7698005437850952,0.4563312828540802,38.99723074668555
46,0.33836832642555237,0.7865360379219055,0.4170219302177429,38.99722637980926
47,0.3663860857486725,0.7632479071617126,0.44271087646484375,38.997222751514165
48,0.3428235352039337,0.7913016676902771,0.4219537079334259,38.997221068180366
49,0.3515854477882385,0.8019832968711853,0.4317837953567505,38.99722057008468
50,0.35151776671409607,0.7849965691566467,0.4300174117088318,38.99722026691705
